date,개화,김포공항,공항시장,신방화,마곡나루,양천향교,가양,증미,등촌,염창,신목동,선유도,당산,국회의사당,여의도,샛강,노량진,노들,흑석,동작,구반포,신반포,고속터미널,사평,신논현,언주,선정릉,삼성중앙,봉은사,종합운동장,삼전,석촌고분,석촌,송파나루,한성백제,올림픽공원,둔촌오륜,중앙보훈병원
2019-03-17,6200,19326,4484,8669,12275,11285,27736,7353,11754,20375,3936,6082,21792,12272,14606,4370,45370,6151,13076,2840,3297,4530,34797,3559,38515,7571,7681,4687,24668,8799,7693,6820,7324,5782,4204,19302,1436,6352
2019-03-18,13936,21355,7162,16711,21185,20606,47086,16609,24036,38127,8961,16568,41991,38042,52285,12769,64276,9732,26458,3703,7074,6841,32198,7403,69588,20139,20004,14019,35654,9485,11052,9840,11686,7564,3938,9822,1957,15539
2019-03-19,13583,20565,7185,16802,22537,21597,47938,16696,24513,38305,9074,16808,43162,39183,53454,12844,65098,9792,27310,3771,7543,7233,32514,7523,72138,20609,20953,14054,34806,9569,11134,10169,11922,7592,3928,10118,2061,15149
2019-03-20,13639,21506,7082,16396,21510,21141,46997,16355,24477,37887,8836,17052,43503,41430,53310,13005,64727,9967,27286,3422,7357,7080,31844,7545,70034,21123,20236,14529,37264,9965,11544,10374,11507,7830,4007,10000,2200,15275
2019-03-21,13386,22053,7175,16885,22354,21411,47399,16875,25552,38647,9079,16943,44009,39402,53525,13007,65830,9839,26608,3602,7282,7651,33183,7538,73143,20771,20592,14143,39255,9662,11214,9899,11977,7716,3982,10595,2079,15398
2019-03-22,13837,23605,7157,17033,23210,22011,49212,17217,25906,39271,9340,17094,45371,41884,54479,12645,70251,9972,27022,4149,7300,7346,40119,7882,82413,21905,21938,14542,39514,10229,11819,10554,12458,8274,4173,10708,2064,15185
2019-03-23,8556,21181,5351,11395,17036,13678,34330,9872,16824,26565,5438,8128,31469,13609,21301,6044,60173,6981,17693,2927,7399,4667,41825,4842,61942,12385,12474,7237,30323,9020,8740,7973,9021,7249,3134,11968,1450,8150
2019-03-24,6168,18802,4219,8597,11912,10690,27196,6434,11327,19834,3996,6475,22613,13058,14803,4561,43435,6066,12518,2692,3473,4283,34314,3386,37590,7058,7232,4300,20793,6804,6866,6059,7066,4979,2791,10572,1377,5993
2019-03-25,13630,21422,7000,16430,20757,20427,47381,16689,24671,38302,8881,16704,41780,37948,52459,12211,63158,9483,26179,4038,7145,6767,32560,7301,70031,20162,20229,13851,34679,9399,11165,9717,11574,7521,3815,9905,1991,15091
2019-03-26,13656,21705,6968,16979,22316,21465,48150,16741,24106,38245,9200,16755,43566,41086,53811,12181,64970,10037,27132,3973,7721,7074,32554,7544,71785,21175,20601,14025,36168,9551,11271,9894,12070,7592,4207,10664,2117,15081
2019-03-27,13620,21978,7028,16857,22165,21145,47880,16768,23775,38680,8834,16538,43320,45085,54359,12210,64782,10144,26747,3640,7663,7081,32635,7254,71767,20749,20841,14241,40418,9866,11420,10025,11747,7722,4017,11083,2253,15838
2019-03-28,13612,22580,6913,16891,22088,21040,47512,16756,24097,38581,9127,17024,44402,38988,54817,13168,66033,9709,27245,3702,7482,8019,33716,7593,72816,21441,20644,14259,40658,9708,11121,10041,11779,7742,4127,11076,2084,15886
2019-03-29,13947,23686,7380,17100,23117,21870,48953,17095,24804,39632,9360,17054,44706,42245,55655,12640,69636,9960,26691,3999,7534,7329,41234,7901,80583,21545,20883,14832,43129,12784,11401,10471,12383,8307,4225,11416,2101,15543
